,name,height,weight
0,alex,1.67,51.25
1,ajay,1.82,61.91
2,alice,1.76,69.41
3,ravi,1.73,64.56
4,joe,1.72,65.45
5,alex,1.67,51.25
6,ajay,1.82,61.91
7,alice,1.76,69.41
8,ravi,1.73,64.56
9,joe,1.72,65.45
10,alex,1.67,51.25
11,ajay,1.82,61.91
12,alice,1.76,69.41
13,ravi,1.73,64.56
14,joe,1.72,65.45
15,Arzu,2.3,65.09
16,Cahandar,1.42,59.77
17,Tapdiq,1.78,61.9
18,Messi,1.47,64.58
19,jack,1.74,55.93
20,tom,1.77,64.18
21,tracy,1.78,61.9
22,john,1.72,50.97
23,jack,1.74,55.93
24,tom,1.77,64.18
25,tracy,1.78,61.9
26,john,1.72,50.97
27,jack,1.74,55.93
28,tom,1.77,64.18
29,tracy,1.78,61.9
30,john,1.72,50.97
31,simon,1.72,50.97
32,jacob,1.7,54.73
33,cindy,1.69,57.81
34,ivan,1.72,51.77
35,simon,1.72,50.97
36,jacob,1.7,54.73
37,cindy,1.69,57.81
38,ivan,1.72,51.77
39,simon,1.72,50.97
40,jacob,1.7,54.73
41,cindy,1.69,57.81
42,ivan,1.72,51.77
